rssi;avgAccuracy;avgProximity
-57;0.44;2.00
-58;0.44;2.00
-59;0.46;2.00
-60;0.58;2.00
-61;0.70;2.00
-62;0.83;2.00
-63;0.89;2.00
-64;0.83;2.00
-65;1.01;2.00
-66;1.13;2.00
-67;1.40;2.00
-68;1.51;2.00
-69;1.67;2.00
-70;2.02;2.21
-71;2.03;2.08
-72;2.27;2.08
-73;2.86;2.80
-74;3.67;2.96
-75;4.00;2.90
-76;4.07;2.97
-77;4.31;3.00
-78;4.52;2.97
-79;4.58;3.00
-80;8.00;3.00
-81;9.72;3.00
-82;11.81;3.00
-83;11.58;3.00
-84;11.74;3.00
-85;13.08;3.00
-86;14.55;3.00
-87;15.28;3.00
-88;16.07;3.00
-89;18.84;3.00
-90;19.69;3.00
-91;18.49;3.00
-92;18.63;3.00
-93;14.85;3.00
-94;25.40;3.00
-95;25.12;3.00
